SITE_CURRENCY,$
MARKET_SHELVES,Market raflar?nda
ADDED_CURRENCY,Eklenen para
UPPER_CLASSIFICATION,aile kategorisi
UPLOAD_SUCCESSFUL,yÅkleme ba?ar?l?
UPLOAD_IMAGE,Foto?raf yÅkleniyor
THREE_AT_HOME,Evde Åá
BEGINNERS_GUIDE,Yeni ba?layanlar?n rehberi
ONE_UNDER_THE_HOUSE,Seviye 1
RENMINBI,Renminbi
CONTENT_AREA,?áerik alan?
REVOKED,?ptal edilen
DEFAULT,Varsay?lan
COMPLETED,Tamamland?
TOTAL_AMOUNT,Toplam tutar
TO_TRADE,Ticaret
DO_NOT_SHOW,Gîsterme
BECAUSE,ÄÅnkÅ
VISITING_THE_MARKET,pazar Ziyaret
UNPAID,îdenmemi?
VOLUME,Ses
UNTREATED,??lenmemi?
IN_TRANSACTION,i?lemde
THE_NEXT_STEP,Sonraki ad?m
USER_GROUP,Kullan?c? grubu
TYRANT_CURRENCY,tyrant para
YUAN_IN_CASH,Nakit
DEFAULTS,Varsay?lan
SHOPPING_MALL,Al??veri? Merkezi
ID_CARD,kimlik kart?
DRIVERS_LICENSE,Ehliyet
UTILITY_BILL,Fatura
SOCIAL_SECURITY,Sosyal GÅvenlik
OTHERS,Di?erleri
TELEPHONE_AND,Telefon ve
BITCOIN,Bitcoin
NOT_CERTIFIED,sertifikal? de?il
FEES,hará
TOTAL,Toplam
TOTAL_COMMISSION,Toplam Komisyonu
REMITTANCE,Havale
IT_HAS_WITHDRAWALS,Bu áekme vard?r
IT_HAS_BEEN_CREDITED_INTO_ACCOUNT,Bu hesaba yat?r?ld? olmu?tur
SUB_NAVIGATION,Alt navigasyon
MOVING_SAID_COINS,sîz konusu paralar? Hareketli
THAWING,áîzÅlme
LITECOIN,Litecoin
REMIND_YOU,Not
TURNOVER,Devir
DEAL_DONE,Anla?ma yap?ld?
PROCESSED,??lenmi?
PASSWORD,Parola
SELL_A_PRICE,Satmak
SELL_RATIO,sat?? Oran?
SELL_PRICE,Sat?? fiyat?
MINUTE_LINE,min
COMPATIBILITY,uygunluk
BUY_A_PRICE,Sat?n
VERIFICATION_CODE,Do?rulama kodu
CHAIN_TOUR_STOCKS,Zincir tur stoklar?
COIN_WALLET,Madeni para cÅzdan
CAROUSEL_FIGURE,Karusel ?ekil
SUPER_PRAISE,SÅper îvgÅ
ANTS_CURRENCY,Kar?ncalar para
CHATROOM,Sohbet odas?
BULLSH_,bullsh *
RISE_IN_INTEREST_RATES,faiz oranlar?ndaki YÅkseli?i
THE_FIRST_INSPECTION,ilk muayene
TOTAL_ASSETS,Toplam aktifler
THE_TOTAL_AMOUNT,Toplam tutar
TOTAL_BLOCK,Toplam blok
NET_LONG_CURRENCY,Net uzun para
ALREADY_APPLIED,Zaten uygulanan
TURNED_ON,Aá?k
ALREADY_TRANSFER_MONEY,Zaten para transferi
HOUR_LINE,sa
TOO_MODERATE,Äok ?l?ml?
DECEMBER,Aral?k
NOVEMBER,Kas?m
LOADING,YÅkleniyor
THE_FIRST_DIVIDEND,ilk temettÅ
REPAIR_TABLES,Tamir Tablolar?
TABLE_OPTIMIZATION,Tablo Optimizasyon
USERS,Kullan?c?lar
AND_GREATER_THAN,daha Ve daha
SPLIT,BîlÅnmÅ?
PREHEATING,Yakla?an
HAZE_CURRENCY,pus para
MONROE_CURRENCY,Monroe para
GOLDEN_KEY,alt?n Anahtar
RIO_CURRENCY,Rio para
MAILBOX,E-posta
STILL_NEED,hala laz?m
OF_WORLD_CURRENCY,DÅnya para
GIFT,Hediye
IN_FAVOR_OF,Destek
ACCOUNTS,Hesaplar
ACCOUNT_NUMBER,hesap numaras?
DOUBAN,Douban
PLEASE_CHOOSE,LÅtfen seá
FIGURE_QUOTES,?ekil T?rnaklar
OBTAIN[,Edinme [
ENGLISH,ingilizce
HOLIDAYS,Bayram
CUSTOM_PAGE,ôzel sayfa
SMALL_WEBSITE,KÅáÅk web sitesi
ABBREVIATION,k?saltma
BEFORE_LANDING,aá?l?? înce
DOG_CURRENCY,Kîpek para
FEATURES,ôzellikleri
ENTHUSIAST,hayran
BROWSER,Taray?c?
BIT_HELP,Bit yard?m
NORMALIZATION,normalle?tirme
FIND,bulmak
DID_NOT_PASS,Geámedi
UNBOUND,ba?s?z
NOT_LOGGED,de?il Giri?
INACTIVATED,inaktive
NOT_BACKED_UP,yedeklenmeyen
UNFILLED,Doldurulmam??
NO_ARRIVAL,hiábir var??
NOT_WINNING,kazanan de?il
NOT_UPLOADED,yÅklenen de?il
HIGHEST_PRICE,En yÅksek fiyat
LOWEST,En dÅ?Åk
REGULAR_VERSION,DÅzenli versiyonu
TIME_ALLOWED_NEXT,Zaman ?leri izin
DAY_CHANGE,24H DE????KL???
BORDERLESS,s?n?rs?z
NO_PRIZES,îdÅl yok
NEW_INTERFACE,Yeni ArayÅz
THE_AMOUNT_OF_DATA,veri miktar?
DIGITAL_GOLD,Dijital alt?n
ALIPAY,Alipay
DIG_CURRENCY_NET,Kaz? para net
FINAL_PRICE,son fiyat
TOTAL_SALES,Toplam sat??
TOTAL_SCORE,Toplam puan
APPLICATION_CHAIN,Uygulama Zinciri
ANNUAL_INTEREST,Y?ll?k faiz
HAT_SHARES,?apka hisseleri
PASCAL,paskal
CURRENCY_LONGSHARE,Dîviz uzun pay?
PASSED,geáti
RUNNING,Ko?u
ENDED,Bitti
UPCOMING,Yakla?an
OVER,Bitti
BOUND,Ciltli
SHIPPED,gînderilen
CLOSED,kapal?
WE_HAVE_BEEN_WINNING,Biz kazanan edilmi?tir
UPLOADED,yÅklenen
WORKING_DAY,?? gÅnÅ
IT_MEANS,Anlam?
EXPORT_TABLE,?hracat Tablo
ANDREWS,"Andrews,"
STOCK,"stok, mevcut"
CASE_NUMBER,vaka numaras?
ENTER_KEY,Giri? anahtar?
BUSINESS_NUMBER,i? numaras?
AFTER_REFRESH,ferahlat?c?
ONLY_SUPPORTS,Sadece destekleri
PUBLISHER,Yay?mc?
AGAINST,Kar??s?nda
KARAT,Ayar
LOAD_LAYER,YÅk tabakas?
SHARE_TO,iáin pay
MILITARY_OFFICER,Askeri memur
COUNTDOWN,geri say?m
INFORMATION,bilgi
AS_FOLLOWED,takip olarak
EXCELLENT_DROP_COINS,MÅkemmel damla paralar
ETHERNET_SQUARE,Ethernet Kare
ETHEREUM,Ethereum
BILLION_DOLLARS,Milyar dolar
TRADING_VOLUME,I?lem hacmi
TRADING_RANGE,Ticaret Aral???
QR_CODE,QR kod
PRIMARY_NAVIGATION,?lkî?retim Navigasyon
IN_SEARCH,Aray?? iáinde olmak
CONFIRMATION,Onayla
PROFESSIONAL_EDITION,Professional Edition
DO_NOT_NEED,Gerekmez
NOT_SUPPORTED,Desteklenmiyor
NOT_RECOMMENDED,Tavsiye edilmez
MONTH,Ay
STATUS,durum
HOME,Ev
OPERATING,Aksiyon
AVAILABLE,Mevcut
DISABLE,Devre D???
EXCEPT,d???nda
EDIT,DÅzenle
FREEZE,Sipari?
FORGET,Unuttun
SELL,Satmak
NORMAL,Normal
SEQUENCE,S?ra
DELETE,Sil
BUY,Sat?n
OBJECTS,Nesneler
CREATE,olu?turmak
UNDO,Geri alma
CARRY_OUT,Tamamland?
ABOUT,hakk?nda
REVIEW,gîzden geáirmek
SHUT_DOWN,Kapat
TIME,zaman
CURRENCIES,Kurlar
UNIT_PRICE,Birim fiyat
MORE,Daha
DISPLAY,GîrÅntÅle
QUANTITY,miktar
USE,kullan?m
RECHARGE,?arj
SUCCESS,ba?ar?
LUMP_SUM,Toplam
PRICE,Fiyat
RECOMMEND,ônermek
ENABLE,etkinle?tirme
CONTENT,iáerik
COMPLETE,Her?ey
STORAGE,Depolama
TYPES_OF,TÅrleri
AN_EXAMINATION,incelenmesi
HOUR,saat
CANCEL,?ptal etmek
NEW,Yeni
PUSH_BUTTON,Butona bas?n?z
FILL_IN,Doldurun
NAME,ad
IMPORTANT,ônemli
DETAIL,detay
CONTACT,?leti?im
REGISTERED,Kay?tl?
TITLE,Ba?l?k
NICKNAME,Takma ad
DESCRIPTION,aá?klama
IMAGE,gîrÅntÅ
ICON,ikon
NAME_AWARD,isim ôdÅlÅ
DROP_OUT,Ä?k?? Yap
LOG_OUT,Ä?k?? Yap
INTO,iáine
DEPOSIT,Depozito
UNBUNDLING,Kald?rmak
SYSTEM,sistem
MANAGEMENT,yînetim
DETERMINE,Onaylamak
CHANGE,De?i?iklik
PROPORTION,oran
DATE,tarih
THE_WAY,yol
INCOME,Gelir
EXPENDITURE,harcama
SIZE,boyut
OFFICIAL,resmi
COPY,kopya
MINUTE,dakika
DOWNLOAD,indir
LINK,ba?lant?
MONEY,Para
REWRITE,Yeniden yazmak
SIDEBAR,Kenar áubu?u
WITHDRAW,Äekil
ACCOUNT,hesap
THAW,erime
POLYMERIZATION,polimerizasyon
GROUP,grup
SPACE,Uzay
CONFIRM,onaylamak
CLEAR_UP,temizle yukar?
NOTE,Not
ORDER,Sipari?
ACCORDING_TO,gîre
LABEL,Etiket
PLATE,Tabak
NOT_IN,De?il
DIVISION,BîlÅnme
CHARGES,Masraflar
SUMMARY,îzet
SUBMIT,Sunmak
CURRENT,?imdiki
MARKET,Market
ALREADY_IN,Zaten
LEFT,ayr?ld?
DEAL_WITH,u?ra?mak
MA,MA
APRIL,Nisan
SEND,Gînder
SINGLE_LINE,Tek áizgi
OCTOBER,Ekim
SWITCH,De?i?tirmek
PACKET,Paket
CLASSIFICATION,Kategori
JUNE,Haziran
AUGUST,A?ustos
FREE,BEDAVA
TRANSACTION,i?lem
MAY,May?s
FEBRUARY,?ubat
II,II
SEPTEMBER,EylÅl
MARCH,Mart
THREE_GENERATIONS,öá nesil
JULY,Temmuz
JANUARY,Ocak
GENERATION,nesil
HEIGHT,YÅkseklik
STYLE,stil
PROJECT,proje
TOP,öst
NEED,ihtiyaá
HIDE,saklamak
LOCK_SCREEN,Kilit ekran?
WALLET,CÅzdan
RESET,S?f?rla
SELECT,seámek
REDUCTION,indirgeme
RETURN,DînÅ?
FRAME,áeráeve
TURNTABLE,dîner tabla
APPROVAL,onay
ASSETS,Varl?klar
RATES,Oranlar
FINANCIAL_AFFAIRS,Finansal ili?kiler
EXPLANATION,aá?klama
LANGUAGE,Dil
DETAILED,detayl?
SCORE,Puan
EVALUATION,De?erlendirme
FORUM,forum
FOR_NON,olmayan iáin
RULE,kural
FORMS,Formlar
RANGE,Aral?k
FROM_THE_SALE,sat???ndan
FROM_BUYING,al?? itibaren
WEBSITE,?nternet sitesi
NUMBERING,Numaralama
LEVEL,seviye
EQUAL,e?it
DRAWING_A_LINE,Bir áizgi áizme
POINT,Nokta
FIRE_CURRENCY,Yang?n para
ACTIVATION,etkinle?tirme
MANCANG,Mancang
ADD_TO,a ekle
INCREASE,art?rmak
SEEK,Aramak
COMPETENCE,yetenek
ORDINARY,s?radan
DAILY,GÅn
MINING,madencilik
HOLD_OUT,uzatmak
PASSPORT,Pasaport
CONVERT,DînÅ?tÅrmek
FOLD,kat
CONGRATULATION,tebrik
IN_SHORT,K?sacas?
OPEN,Aá?k
APPLICATION,Uygulama
NO,Hay?r.
EQUALITY,e?itlik
TOOL,Araálar
EXPANSION,Geni?leme
SMALL_COINS,KÅáÅk paralar
LESS_THAN,Daha az
LOGARITHM,logaritma
WIDTH_HEIGHT,En boy
WIDTH,Geni?lik
REGULARLY,dÅzenli olarak
TIMES_NEW_ROMAN,Times New Roman
INSTALLATION,Kurulum
SAFETY,Emniyet
MEMORY,Haf?za
AWARDS,ôdÅller
PRIZE,ôdÅl
REWARD,ôdÅl
CITY,Kent
ONLINE,?nternet Åzerinden
IN,iáinde
CYCLE,dîngÅ
SUNDAY,Pazar
THURSDAY,Per?embe
ON_SATURDAY,Cumartesi gÅnÅ
FRIDAY,Cuma
ON_TUESDAY,Sal? gÅnÅ
ON_WEDNESDAY,Äar?amba gÅnÅ
ON_MONDAY,Pazartesi gÅnÅnde
WRITABLE,yaz?labilir
OPPOSITION,Muhalefet
UNINSTALL,Kald?rma
VOLUMES,Cilt
SELLERS,Sat?c?lar
REFRESH,Yenile
ARRIVAL,Var??
PAGING,Äa?r?
ERROR,Hata
OTHER,di?er
FULL_SITE,Tam Sitesi
BUY_ALL,Hepsini al
ACCOUNTED_FOR,sorumluydu
CONVENIENT,uygun
MEMBER,Åye
CROWDFUNDING,Kitle sermayesi
AS_WELL_AS,Hem de
INTRODUCTION,Giri?
NUMBER_OF_PEOPLE,?nsanlar?n say?s?
TO_UNDERSTANDING,hakk?nda
BUYERS,Al?c?lar
CHINESE,Äince
NEXT_IS,S?radaki
UPPER_LAYER,Åst katman
SUPPORT_HEAD_ACCORDING_TO_THE_DOCUMENT_HOLDING_GOODS,Belge tutma mallar? gîre Destek kafas?
ACCORDING_TO_THE_STATE_FIVE_MINISTRIES,Devlete be? bakanl?k gîre
NOT_YET,henÅz de?il
ANY_NUMBER,Herhangi bir numara
MORE_PEOPLE,Daha fazla insan
USERS_EXCHANGE,Kullan?c?lar de?i?imi
SUMMARY_GRAPH,îzet grafi?i
INTEREST,Faiz
POSITIVE_CHUN,Pozitif Chun
COMPOUND,Bile?ik
TIMES,Zamanlar
SET,Ayarlamak
WHICH_IS,hangisi
RECORD,kay?t
PURCHASE,sat?n alma
ADD,Ekle
PLUS,art?
RUN,Äal??t?rmak
SHIFT,vardiya
CARE,Bak?m
OR,veya
CROSS,áapraz
KEY,anahtar
INTRODUCE,Takdim etmek
SEARCH,Arama
SECONDARY,?kincil
REAR,Arka
NUMBER,numara
ENTER,Giri?
ONE,bir
GRAPH,grafik
TRADE,Ticaret
EXCHANGE,De?i? toku?
SIGN_UP,Kaydol
FINANCE,maliye
"Unable to send SMS Code, Retry in sometime","bazen de SMS Kodu, yeniden dene gînderilemiyor"
BALANCE,Denge
THE TRANSACTION PRICE EXCEEDS A PRICE LIMIT TODAY!,i?lem fiyat? bir fiyat limiti bugÅn a??yor!
YOUR_WITHDRAWAL_MESSAGE,Ki?isel Äekilme Mesaj?
YOUR_RECHARGE_MESSAGE,Ki?isel ?arj Mesaj?
Least sale bid suggested:,Az sat?? teklifi înerdi:
User,hesap
Vote,Oy
ICO,ICO
Store,DÅkkan
News,Blog
SIGNUP,Kaydol
SIGNIN,Oturum aá
Launchpad,Ba?latma
Health,Sa?l?k
24H_CHANGES,24 Saat De?i?iklikler
THE NUMBER OF TRANSACTIONS IS MALFORMED,Do?ru Miktar belirtin lÅtfen
THE TRANSACTION PRICE IS MALFORMED,Do?ru Fiyat belirtin lÅtfen
CUSTOMER_SUPPORT,MÅ?teri deste?i
PENDING_NEEDS_CONFIRMATION,[Beklemede] Teyitleri gerekli:
COINNAME,Coinname
AMOUNT,Miktar
SYSTEM HEALTH,Sistem Sa?l?k
VERIFY_EMAIL,do?rulama Email
SEND VIA EMAIL,Via E-posta Gînder
USERNAME_OR_EMAIL,Kullan?c? ad? / E-posta
